onetcode;onet19;soccode18;soc18;stem ;soc10;isco08;isco88;cbo02;ocup cbo
11101100;Chief Executives;111011;Chief Executives;0;111011;1112;1120;111405;Funcionário público federal superior
11101103;Chief Sustainability Officers;111011;Chief Executives;0;111011;1112;1120;111405;Funcionário público federal superior
11102100;General and Operations Managers;111021;General and Operations Managers;0;111021;1112;1120;111405;Funcionário público federal superior
11103100;Legislators;111031;Legislators;0;111031;1111;1110;111105;Senador
11201100;Advertising and Promotions Managers;112011;Advertising and Promotions Managers;0;112011;1222;1234;142310;Gerente de relações públicas
11202100;Marketing Managers;112021;Marketing Managers;0;112021;1221;1233;142305;Gerente comercial
11202200;Sales Managers;112022;Sales Managers;0;112022;1221;1233;142305;Gerente comercial
11203200;Public Relations Managers;112032;Public Relations Managers;0;112031;1114;1141;#N/D;#N/D
11203300;Fundraising Managers;112033;Fundraising Managers;0;112031;1114;1141;#N/D;#N/D
11301200;Administrative Services Managers;113012;Administrative Services Managers;0;113011;1219;1227;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11301300;Facilities Managers;113013;Facilities Managers;0;113011;1219;1227;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11301301;Security Managers;113013;Facilities Managers;0;113011;1219;1227;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11302100;Computer and Information Systems Managers;113021;Computer and Information Systems Managers;1;113021;1330;1226;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11303100;Financial Managers;113031;Financial Managers;0;113031;1211;1231;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11303101;Treasurers and Controllers;113031;Financial Managers;0;113031;1211;1231;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11303103;Investment Fund Managers;113031;Financial Managers;0;113031;1211;1231;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11305100;Industrial Production Managers;113051;Industrial Production Managers;0;113051;1321;1222;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11305101;Quality Control Systems Managers;113051;Industrial Production Managers;0;113051;1321;1222;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11305102;Geothermal Production Managers;113051;Industrial Production Managers;0;113051;1321;1222;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11305103;Biofuels Production Managers;113051;Industrial Production Managers;0;113051;1321;1222;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11305104;Biomass Power Plant Managers;113051;Industrial Production Managers;0;113051;1321;1222;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11305106;Hydroelectric Production Managers;113051;Industrial Production Managers;0;113051;1321;1222;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11306100;Purchasing Managers;113061;Purchasing Managers;0;113061;1219;1227;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11307100;Transportation, Storage, and Distribution Managers;113071;Transportation, Storage, and Distribution Managers;0;113071;1324;1226;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
